unique,paper,game,matrixrow,matrixcol,actionrow,actioncol,shape,symmetric,repeat
2,stahlwilson1994,1,"[[40, 10, 70], [20, 80, 0], [30, 100, 60]]",,"[11/40, 0/40, 29/40]",,"[3, 3]",1,
3,stahlwilson1994,2,"[[20, 0, 100], [60, 20, 0], [0, 60, 40]]",,"[26/40, 7/40, 7/40]",,"[3, 3]",1,
4,stahlwilson1994,3,"[[20, 30, 100], [40, 40, 60], [30, 0, 40]]",,"[14/40, 26/40, 0/40]",,"[3, 3]",1,
5,stahlwilson1994,4,"[[50, 0, 20], [50, 10, 100], [40, 40, 40]]",,"[0/40, 27/40, 13/40]",,"[3, 3]",1,
6,stahlwilson1994,5,"[[10, 100, 20], [0, 70, 30], [20, 50, 40]]",,"[18/40, 0/40, 22/40]",,"[3, 3]",1,
7,stahlwilson1994,6,"[[30, 0, 100], [40, 40, 80], [50, 20, 40]]",,"[4/40, 35/40, 1/40]",,"[3, 3]",1,
8,stahlwilson1994,7,"[[40, 20, 0], [30, 20, 100], [20, 10, 100]]",,"[6/40, 31/40, 3/40]",,"[3, 3]",1,
9,stahlwilson1994,8,"[[10, 100, 0], [0, 60, 70], [90, 40, 20]]",,"[8/40, 13/40, 19/40]",,"[3, 3]",1,
10,stahlwilson1994,9,"[[30, 100, 40], [20, 60, 40], [80, 0, 40]]",,"[26/40, 0/40, 14/40]",,"[3, 3]",1,
11,stahlwilson1994,10,"[[40, 100, 10], [60, 50, 30], [50, 80, 40]]",,"[5/40, 0/40, 35/40]",,"[3, 3]",1,
12,stahlwilson1995,1,"[[25, 30, 100], [40, 45, 65], [31, 0, 40]]",,"[7/48, 40/48, 1/48]",,"[3, 3]",1,
13,stahlwilson1995,2,"[[75, 40, 45], [70, 15, 100], [70, 60, 0]]",,"[30/48, 12/48, 6/48]",,"[3, 3]",1,
14,stahlwilson1995,3,"[[75, 0, 45], [80, 35, 45], [100, 35, 41]]",,"[5/48, 16/48, 27/48]",,"[3, 3]",1,"[14, 49]"
15,stahlwilson1995,4,"[[30, 50, 100], [40, 45, 10], [35, 60, 0]]",,"[26/48, 15/48, 7/48]",,"[3, 3]",1,"[15, 45]"
16,stahlwilson1995,5,"[[10, 100, 40], [0, 70, 50], [20, 50, 60]]",,"[14/48, 3/48, 31/48]",,"[3, 3]",1,"[16, 46]"
17,stahlwilson1995,6,"[[25, 30, 100], [60, 31, 51], [95, 30, 0]]",,"[11/48, 20/48, 17/48]",,"[3, 3]",1,"[17, 47]"
18,stahlwilson1995,7,"[[30, 100, 50], [40, 0, 90], [50, 75, 29]]",,"[21/48, 17/48, 10/48]",,"[3, 3]",1,"[18, 50]"
19,stahlwilson1995,8,"[[0, 60, 50], [100, 20, 50], [50, 40, 52]]",,"[12/48, 12/48, 24/48]",,"[3, 3]",1,
20,stahlwilson1995,9,"[[40, 100, 65], [33, 25, 65], [80, 0, 65]]",,"[26/48, 1/48, 21/48]",,"[3, 3]",1,"[20, 52]"
21,stahlwilson1995,10,"[[45, 50, 21], [41, 0, 40], [40, 100, 0]]",,"[39/48, 3/48, 6/48]",,"[3, 3]",1,"[21, 53]"
22,stahlwilson1995,11,"[[30, 100, 22], [35, 0, 45], [51, 50, 20]]",,"[13/48, 4/48, 31/48]",,"[3, 3]",1,"[22, 54]"
23,stahlwilson1995,12,"[[40, 15, 70], [22, 80, 0], [30, 100, 55]]",,"[26/48, 3/48, 19/48]",,"[3, 3]",1,"[23, 55]"
24,rogersetal2009,unprofitable,"[[40, 60, 10], [10, 10, 60], [40, 40, 40]]",,"[0.33, 0.24, 0.43]",,"[3, 3]",1,
25,rogersetal2009,clonedmatchingpennies,"[[50, 10, 10], [10, 20, 20], [10, 20, 20]]","[[10, 20, 20], [20, 10, 10], [20, 10, 10]]","[0.78, 0.10, 0.12]","[0.71, 0.22, 0.07]","[3, 3]",0,
26,rogersetal2009,clonedstaghuntlow,"[[21, 10], [21, 10], [20, 20]]","[[21, 20], [21, 20], [10, 20]]","[0.24, 0.17, 0.59]","[0.34, 0.66]","[3, 2]",0,
