matrix,choice
40 10 70; 20 80 0; 30 100 60,0.275 0 0.725
20 0 100; 60 20 0; 0 60 40,0.65 0.175 0.175
20 30 100; 40 40 60; 30 0 40,0.35 0.65 0
50 0 20; 50 10 100; 40 40 40,0 0.675 0.325
10 100 20; 0 70 30; 20 50 40,0.45 0 0.55
30 0 100; 40 40 80; 50 20 40,0.1 0.875 0.025
40 20 0; 30 20 100; 20 10 100,0.15 0.775 0.075
10 100 0; 0 60 70; 90 40 20,0.2 0.325 0.475
30 100 40; 20 60 40; 80 0 40,0.65 0 0.35
40 100 10; 60 50 30; 50 80 40,0.125 0 0.875
25 30 100; 40 45 65; 31 0 40,0.39 0.58 0.03
75 40 45; 70 15 100; 70 60 0,0.323333333333333 0.496666666666667 0.18
75 0 45; 80 35 45; 100 35 41,0.0754716981132075 0.283018867924528 0.641509433962264
30 50 100; 40 45 10; 35 60 0,0.781333333333333 0.162666666666667 0.056
10 100 40; 0 70 50; 20 50 60,0.39622641509434 0.0660377358490566 0.528301886792453
25 30 100; 60 31 51; 95 30 0,0.463333333333333 0.233333333333333 0.303333333333333
30 100 50; 40 0 90; 50 75 29,0.5 0.273584905660377 0.226415094339623
0 60 50; 100 20 50; 50 40 52,0.25 0.25 0.5
40 100 65; 33 25 65; 80 0 65,0.575471698113208 0.0377358490566038 0.386792452830189
45 50 21; 41 0 40; 40 100 0,0.490566037735849 0.122641509433962 0.386792452830189
30 100 22; 35 0 45; 51 50 20,0.566666666666667 0.0733333333333333 0.36
40 15 70; 22 80 0; 30 100 55,0.296666666666667 0.0366666666666667 0.666666666666667
40 60 10; 10 10 60; 40 40 40,0.33 0.24 0.43
35 39 95; 47 51 67; 40 15 47,0.11 0.81 0.07
79 51 55; 59 31 99; 59 67 19,0.8 0.15 0.06
73 13 49; 77 41 49; 93 41 46,0.15 0.17 0.69
42 58 98; 50 54 26; 46 66 18,0.61 0.35 0.04
21 93 45; 13 69 53; 29 53 61,0.33 0.28 0.39
35 39 95; 63 40 56; 91 39 15,0.44 0.26 0.3
37 93 53; 45 13 85; 53 73 36,0.59 0.13 0.28
11 59 51; 91 27 51; 51 43 53 ,0.17 0.2 0.63
50 98 70; 44 38 70; 82 18 70,0.65 0.04 0.31
47 51 28; 44 11 43; 43 91 11,0.52 0.19 0.3
41 97 35; 45 17 53; 58 57 33,0.5 0.17 0.33
50 30 74; 36 82 18; 42 98 62,0.24 0.17 0.59
10 100 0; 5 60 70; 80 30 10,0.258620689655172 0.482758620689655 0.258620689655172
70 90 38; 100 0 40; 88 48 43,0.511278195488722 0.180451127819549 0.308270676691729
80 60 0; 40 10 50; 100 5 20,0.46551724137931 0.155172413793103 0.379310344827586
0 100 50; 90 63 50; 46 82 52,0.258620689655172 0.603448275862069 0.228571428571429
70 60 90; 60 80 50; 40 20 100,0.783505154639175 0.0412371134020619 0.175257731958763
60 0 0; 0 55 25; 100 35 35,0.00515463917525773 0.0721649484536082 0.922680412371134
70 30 20; 60 60 30; 45 45 40,0.154639175257732 0.788659793814433 0.0567010309278351
35 70 35; 0 60 0; 25 0 55,0.917525773195876 0.0206185567010309 0.0618556701030928
60 30 60; 50 25 25; 30 20 70,0.84020618556701 0.0309278350515464 0.128865979381443
35 35 70; 25 55 100; 0 0 60,0.0206185567010309 0.95360824742268 0.0257731958762887
25 45 55; 35 50 35; 30 45 60,0.0206185567010309 0.0463917525773196 0.93298969072165
55 25 65; 35 35 70; 0 0 60,0.65979381443299 0.319587628865979 0.0206185567010309
60 60 30; 30 70 20; 70 25 35,0.690721649484536 0.108247422680412 0.201030927835052
50 0 0; 70 35 35; 0 25 55,0.0257731958762887 0.871134020618557 0.103092783505155
20 0 60; 0 60 0; 10 25 25,0.757731958762887 0.149484536082474 0.0927835051546392
50 0 0; 0 55 25; 100 35 35,0.0206185567010309 0.0670103092783505 0.912371134020619
80 60 50; 60 70 90; 0 0 100,0.204460966542751 0.661710037174721 0.133828996282528
55 0 25; 50 50 30; 35 100 35,0.0103092783505155 0.0721649484536082 0.917525773195876
0 35 100; 55 40 20; 30 0 0,0.346666666666667 0.653333333333333 0
1 0 0; 100 10 5; 5 5 90,0.0133333333333333 0.48 0.506666666666667
55 10 100; 5 90 5; 15 0 0,0.826666666666667 0.16 0.0133333333333333
80 80 20; 20 100 0; 100 10 30,0.706666666666667 0.0533333333333333 0.24
10 5 5; 100 30 35; 0 80 30,0.0133333333333333 0.546666666666667 0.44
80 10 5; 25 0 10; 5 100 20,0.48 0.0133333333333333 0.506666666666667
15 0 0; 0 90 10; 100 0 20,0 0.56 0.44
35 0 100; 1 100 1; 10 40 40,0.586666666666667 0.36 0.0533333333333333
25 0 0; 0 55 25; 100 35 35,0 0.16 0.84
20 100 20; 5 5 5; 0 5 90,0.72 0 0.28
10 10 10; 15 80 15; 100 0 30,0.0133333333333333 0.573333333333333 0.413333333333333
20 0 100; 10 90 0; 0 0 5,0.4 0.586666666666667 0.0133333333333333
75 10 100; 5 90 5; 0 1 1,0.765957446808511 0.234042553191489 0
1 0 0; 10 90 10; 100 5 20,0 0.617021276595745 0.382978723404255
10 100 10; 0 0 0; 5 5 90,0.276595744680851 0 0.723404255319149
