paper,game,matrixrow,matrixcol,choicerow,choicecol,shape,symmetric,subjects,unique
stahlwilson1995,1,25 30 100; 40 45 65; 31 0 40,,7 48; 40 48; 1 48,,3 3,1,,4
haruvyetal2001,1,25 30 100; 40 45 65; 31 0 40,,25 58; 33 58; 0 58,,3 3,1,,4
haruvystahl2007,3,25 30 100; 40 45 65; 31 0 40,,65 147; 76 147; 6 147,,3 3,1,,4
haruvystahl1998,3,25 30 100; 40 45 65; 31 0 40,,20 47; 25 47; 2 47,,3 3,1,,4
stahlwilson1995,2,75 40 45; 70 15 100; 70 60 0,,30 48; 12 48; 6 48,,3 3,1,,4
haruvyetal2001,2,75 40 45; 70 15 100; 70 60 0,,15 58; 31 58; 12 58,,3 3,1,,4
haruvystahl2007,15,75 40 45; 70 15 100; 70 60 0,,43 147; 77 147; 27 147,,3 3,1,,4
haruvystahl1998,15,75 40 45; 70 15 100; 70 60 0,,9 47; 29 47; 9 47,,3 3,1,,4
stahlwilson1995,4,30 50 100; 40 45 10; 35 60 0,,26 48; 15 48; 7 48,,3 3,1,,5
haruvyetal2001,5,30 50 100; 40 45 10; 35 60 0,,45 58; 10 58; 3 58,,3 3,1,,5
haruvystahl2007,9,30 50 100; 40 45 10; 35 60 0,,120 147; 19 147; 8 147,,3 3,1,,5
stahlharuvy2008,3,30 50 100; 40 45 10; 35 60 0,,64 75; 8 75; 3 75,,3 3,1,,5
haruvystahl1998,9,30 50 100; 40 45 10; 35 60 0,,38 47; 9 47; 0 47,,3 3,1,,5
stahlwilson1995,6,25 30 100; 60 31 51; 95 30 0,,11 48; 20 48; 17 48,,3 3,1,,4
haruvyetal2001,7,25 30 100; 60 31 51; 95 30 0,,31 58; 8 58; 19 58,,3 3,1,,4
haruvystahl2007,18,25 30 100; 60 31 51; 95 30 0,,72 147; 28 147; 47 147,,3 3,1,,4
haruvystahl1998,18,25 30 100; 60 31 51; 95 30 0,,25 47; 14 47; 8 47,,3 3,1,,4
stahlwilson1995,11,30 100 22; 35 0 45; 51 50 20,,13 48; 4 48; 31 48,,3 3,1,,4
haruvyetal2001,14,30 100 22; 35 0 45; 51 50 20,,33 58; 2 58; 23 58,,3 3,1,,4
haruvystahl2007,12,30 100 22; 35 0 45; 51 50 20,,96 147; 13 147; 38 147,,3 3,1,,4
haruvystahl1998,12,30 100 22; 35 0 45; 51 50 20,,28 47; 3 47; 16 47,,3 3,1,,4
stahlwilson1995,12,40 15 70; 22 80 0; 30 100 55,,26 48; 3 48; 19 48,,3 3,1,,4
haruvyetal2001,15,40 15 70; 22 80 0; 30 100 55,,17 58; 2 58; 39 58,,3 3,1,,4
haruvystahl2007,6,40 15 70; 22 80 0; 30 100 55,,32 147; 5 147; 110 147,,3 3,1,,4
haruvystahl1998,6,40 15 70; 22 80 0; 30 100 55,,14 47; 1 47; 32 47,,3 3,1,,4
